points,holes left,win probability,tie probability
6.0,7.0,0.5967429672515598,0.17284740293526996
6.0,8.0,0.7550402386476593,0.12141983890972875
6.0,9.0,0.8622938424357397,0.07567741689498889
6.0,10.0,0.9273789997336204,0.043097787854091976
6.0,11.0,0.96368677042585,0.0228689793031788
6.0,12.0,0.9826376738031775,0.0114630163426764
6.5,3.0,0.024388999999999997,0.10596599999999998
6.5,4.0,0.16534900999999996,0.20886263999999996
6.5,5.0,0.3865987273999999,0.2268025451999999
6.5,6.0,0.6040907599019998,0.18284430376799993
6.5,7.0,0.7695903701868297,0.12267453555881996
6.5,8.0,0.8764600775573879,0.07257075228335517
6.5,9.0,0.9379712593307286,0.0391523838015124
6.5,10.0,0.9704767875877123,0.01968393557180823
6.5,11.0,0.9865557497290289,0.009358372662311668
7.0,2.0,0,0.0841
7.0,3.0,0.130355,0.22663499999999998
7.0,4.0,0.3742116499999999,0.25157669999999993
7.0,5.0,0.6134012725999999,0.19469732899999995
7.0,6.0,0.7869350636699999,0.12303501589499997
7.0,7.0,0.8922649057456498,0.06817512801308998
7.0,8.0,0.9490308298407433,0.03443430224882199
7.0,9.0,0.977123643132241,0.016232192268655132
7.0,10.0,0.9901607231595206,0.007252992708043695
7.0,11.0,0.9959141223913406,0.003105158022702242
7.5,2.0,0.0841,0.24359999999999998
7.5,3.0,0.3569899999999999,0.28601999999999994
7.5,4.0,0.6257883499999999,0.20886263999999993
7.5,5.0,0.8080986015999998,0.12171961199999998
7.5,6.0,0.9099700795649998,0.06198269237999998
7.5,7.0,0.9604400337587398,0.02883304553723999
7.5,8.0,0.9834651320895653,0.012567098947703996
7.5,9.0,0.9933558354008962,0.005214563850118894
7.5,10.0,0.9974137158675644,0.0020819807210652776
8.0,1.0,0,0.29
8.0,2.0,0.3277,0.34459999999999996
8.0,3.0,0.64301,0.22663499999999998
8.0,4.0,0.8346509899999998,0.11730267999999999
8.0,5.0,0.9298182135999998,0.05327777049999999
8.0,6.0,0.9719527719449998,0.022283595185999993
8.0,7.0,0.9892730792959799,0.008805641377189997
8.0,8.0,0.9960322310372693,0.003338148477451999
8.0,9.0,0.9985703992510152,0.0012260004589095565
8.0,10.0,0.9994956965886297,0.0004391663259384617
8.5,1.0,0.29,0.42
8.5,2.0,0.6722999999999999,0.24359999999999998
8.5,3.0,0.8696449999999998,0.10596599999999998
8.5,4.0,0.9519536699999999,0.04097351999999999
8.5,5.0,0.9830959841,0.014852900999999996
8.5,6.0,0.9942363671309999,0.005168809547999999
8.5,7.0,0.9980787206731698,0.0017487805637399995
8.5,8.0,0.9993703795147214,0.0005795958439823998
8.5,9.0,0.9997963997099247,0.00018909314409925793
9.0,1.0,0.71,0.29
9.0,2.0,0.9158999999999999,0.0841
9.0,3.0,0.975611,0.024388999999999997
9.0,4.0,0.99292719,0.007072809999999999
9.0,5.0,0.9979488851,0.0020511148999999996
9.0,6.0,0.999405176679,0.0005948233209999999
9.0,7.0,0.99982750123691,0.00017249876308999995
9.0,8.0,0.9999499753587038,5.0024641296099985e-05
9.0,9.0,0.999985492854024,1.4507145975868995e-05
